,Type,Name,Date Added,Modified History,Description
5,Theme,AGRICULTURE,13/10/2013,13/10/2013,General discussion of agriculture
6,Theme,ALLIANCE,18/05/2014,18/05/2014,Self-identified discussion of alliances and coalitions
7,Theme,APPOINTMENT,13/10/2013,13/10/2013,An appointment of someone to something
8,Theme,ARMEDCONFLICT,13/10/2013,13/10/2013,"Primary discussion of armed conflict, from ground assaults to air raids"
10,Theme,ASSASSINATION,13/10/2013,13/10/2013,Actual discussion of assassination
11,Theme,AUSTERITY,20/02/2014,20/02/2014,Mention of austerity.
12,Theme,AVIATION_INCIDENT,20/02/2014,20/02/2014,"Plane/helicopter crashes, collisions, accidents."
13,Theme,BAN,13/10/2013,13/10/2013,"Something being banned, prohibited, outlawed, criminalized, etc"
14,Theme,BLACK_MARKET,13/10/2013,13/10/2013,"Actual mentions of ""black market"", not related terms"
15,Theme,BLOCKADE,13/10/2013,13/10/2013,Mentions of blockades and no fly zones - use in combination with the military themes to distinguish armed vs non-kinetic blockades
16,Theme,BORDER,13/10/2013,13/10/2013,Any discussion of borders
17,Theme,BULLYING,20/12/2013,20/12/2013,"Explicit mention of the word ""bullying/cyberbullying"""
18,Theme,CEASEFIRE,13/10/2013,13/10/2013,"Mentions of ceasefires, truces, peace deals, suspension of hostilities, etc"
19,Theme,CHARASMATIC_LEADERSHIP,06/05/2014,06/05/2014,Charasmatic leadership
20,Theme,CHECKPOINT,13/10/2013,13/10/2013,Security checkpoints
21,Theme,CLAIM_CREDIT,13/10/2013,13/10/2013,"Claims of responsibility or credit, for good (claimed credit for the success) and bad (claimed credit for the bombing)"
22,Theme,CLOSURE,13/10/2013,13/10/2013,"Discussion of closure other than road, bridge, street, closure (ie, facility closure, military base closure, etc)"
23,Theme,CONFISCATION,13/10/2013,13/10/2013,Actual mention of confiscation in the text
24,Theme,CONSTITUTIONAL,13/10/2013,13/10/2013,Discussion of constitutionalism
25,Theme,CORRUPTION,13/10/2013,13/10/2013,"Corruption, kickbacks, embezzling, profiteering, etc"
26,Theme,CRIME_CARTELS,13/10/2013,13/10/2013,"Primarily focused around mentions of drug cartels, drug corridors, etc.  Does not currently have a list of cartels, just captures general discussion of them"
27,Theme,CRIME_COMMON_ROBBERY,13/10/2013,13/10/2013,"Discussion of general crime like pickpocketing, robbery, street criminals, etc"
28,Theme,CRIME_ILLEGAL_DRUGS,13/10/2013,13/10/2013,Mentions of illegal drugs
29,Theme,CURFEW,13/10/2013,13/10/2013,Discussion of any curfew
30,Theme,CYBER_ATTACK,13/10/2013,13/10/2013,"Any discussion of cyberwarfare, cyberattacks, phishing, hacking, hacktivists, viruses, etc"
31,Theme,DEATH_PENALTY,13/10/2013,13/10/2013,From general discussion of capital punishment to actual mentions of death sentences
32,Theme,DEFECTION,13/10/2013,13/10/2013,Any discussion of defection or defectors
33,Theme,DELAY,13/10/2013,13/10/2013,"Canceling, postponing, stalling delaying anything"
34,Theme,DEMOCRACY,13/10/2013,13/10/2013,"Actual mention of the term ""democracy"""
35,Theme,DISABILITY,20/02/2014,20/02/2014,"Disability, disabled, handicapped."
36,Theme,DISCRIMINATION,13/10/2013,13/10/2013,"Racism, homophobia, xenophobia, etc"
38,Theme,DRONE,20/02/2014,20/02/2014,"Drones, UAVs."
39,Theme,DRUG_TRADE,13/10/2013,13/10/2013,General discussion of the drug trade in broad terms - broader than the other categories
66,Theme,EDUCATION,13/10/2013,13/10/2013,"Teachers, schools, madrassas, yeshivas, professors, education in general"
67,Theme,ELECTION,13/10/2013,13/10/2013,Elections of any kind
68,Theme,ELECTION_FRAUD,13/10/2013,13/10/2013,"Election fraud, from ballot stuffing to vote rigging"
91,Theme,ETH_INDIGINOUS,01/10/2014,01/10/2014,Discussion of indiginous peoples
93,Theme,EXHUMATION,13/10/2013,13/10/2013,"Discussion of mass graves, exhumation, unearthing of bodies, human remains, etc"
94,Theme,EXILE,13/10/2013,13/10/2013,Actual mention of exile in the text
